Material1,Material2,Coefficient
"ff 0.6",Narrow Roller,0.6
"ff 0.6",Nestle Plastic,0.6
"ff 0.6",Passive,0.6
"ff 0.6",PE Plastic,0.6
"ff 0.6",POLYETHYLENE,0.6
"ff 0.6",Polyethylene,0.6
"ff 0.6",Polypropylene,0.6
"ff 0.6",POLYPROPYLENE,0.6
"ff 0.6",RollerBelt,0.6
"ff 0.6",S7000_DZ_ff,0.08
"ff 0.6",SELF EXTINGUISHING LOW MOISTURE,0.6
"ff 0.6",TP package,0.6
"ff 0.6",VeryStickyCardboard,0.6
"ff 0.6",Zobbiness,0.6
"ff 0.8",ACETAL,0.8
"ff 0.8",Acetal,0.8
"ff 0.8",Aluminium,0.8
"ff 0.8",AR NYLON,0.8
"ff 0.8",ARB_DZ_ff,0.9
"ff 0.8",BeltRollerARB,0.9
"ff 0.8",BeltRollerS7000,0.9
"ff 0.8",Black PU,0.8
"ff 0.8",CardBoard,0.8
"ff 0.8",Chain,0.8
"ff 0.8",Chocolate,0.8
"ff 0.8",Concrete,0.8
"ff 0.8",Corrugated,0.8
"ff 0.8",DETECTABLE PE,0.8
"ff 0.8",DZ_ff,0.9
"ff 0.8",Elastomer,0.8
"ff 0.8",ELEC COND ACTL,0.8
"ff 0.8",ELEC COND PP COMPOSITE,0.8
"ff 0.8",ENDURALOX PP,0.8
"ff 0.8",F&N,0.8
"ff 0.8",F&N Can Conv Plastic,0.8
"ff 0.8",F&N Plastic Incline,0.8
"ff 0.8","ff 0.02",0.02
"ff 0.8","ff 0.05",0.8
"ff 0.8","ff 0.1",0.1
"ff 0.8","ff 0.2",0.8
"ff 0.8","ff 0.3",0.8
"ff 0.8","ff 0.4",0.8
"ff 0.8","ff 0.5",0.5
"ff 0.8","ff 0.6",0.8
"ff 0.8","ff 0.8",0.8
"ff 0.8","FLAME RET. TPES",0.8
"ff 0.8",Free Roller,0
"ff 0.8",Frictionless,0
"ff 0.8",GavityRoller,0.8
"ff 0.8",Glass,0.8
"ff 0.8",Gliederband,0.8
"ff 0.8",Glue,0.8
"ff 0.8",Grey PU,0.8
"ff 0.8",High Friction Rubber,0.8
"ff 0.8",HIGH STRENGTH EC ACETAL,0.8
"ff 0.8",Luggage,0.8
"ff 0.8",Merge Roller,0.8
"ff 0.8",Merge Seitenwand,0.8
"ff 0.8",Narrow Roller,0.8
"ff 0.8",Nestle Plastic,0.8
"ff 0.8",NYLON,0.8
"ff 0.8",NYLON (FDA),0.8
"ff 0.8",NYLON (NON-FDA),0.8
"ff 0.8",Passive,0.8
"ff 0.8",PE Plastic,0.8
"ff 0.8",Plastic,0.8
"ff 0.8",Polyethylene,0.8
"ff 0.8",POLYETHYLENE,0.8
"ff 0.8",Polypropylene,0.8
"ff 0.8",POLYPROPYLENE,0.8
"ff 0.8",POLYPROPYLENE COMPOSITE,0.8
"ff 0.8",Polyurethane,0.8
"ff 0.8",RollerBelt,0.8
"ff 0.8",Rollers,0.05
"ff 0.8",Rubber,0.8
"ff 0.8",S7000_DZ_ff,0.08
"ff 0.8",Soft Bag,0.8
"ff 0.8",Steel,0.8
"ff 0.8",TP package,0.8
"ff 0.8",UHMW,0.8
"ff 0.8",UV RESISTANT PP,0.8
"ff 0.8",VeryStickyCardboard,0.8
"ff 0.8",Wood,0.8
"ff 0.8",Zobbiness,0.8
"ff 1,0","ff 0.1",1
"ff 1,0","ff 0.3",1
"ff 1,0","ff 0.4",1
"ff 1,0","ff 0.5",1
"ff 1,0","ff 0.6",1
"ff 1,0","ff 1,0",1
"ff 1,0","Roller 0,075",0.075
"ff 1.0",Acetal,1
"ff 1.0",ACETAL,1
"ff 1.0",Aluminium,1
"ff 1.0",AR NYLON,1
"ff 1.0",ARB_DZ_ff,1
"ff 1.0",BeltRollerARB,1
"ff 1.0",BeltRollerS7000,1
"ff 1.0",Black PU,1
"ff 1.0",Chain,1
"ff 1.0",DETECTABLE PE,1
"ff 1.0",DZ_ff,0
"ff 1.0",ELEC COND ACTL,1
"ff 1.0",ELEC COND PP COMPOSITE,1
"ff 1.0",ENDURALOX PP,1
"ff 1.0","ff 0.1",1
"ff 1.0","ff 1.0",1
"ff 1.0","FLAME RET. TPES",1
"ff 1.0",Free Roller,0
"ff 1.0",Frictionless,0
"ff 1.0",Glass,1
"ff 1.0",Grey PU,1
"ff 1.0",HIGH STRENGTH EC ACETAL,1
"ff 1.0",NYLON (FDA),1
"ff 1.0",NYLON (NON-FDA),1
"ff 1.0",Polypropylene,1
"ff 1.0",POLYPROPYLENE COMPOSITE,1
"ff 1.0",Rollers,0
"ff 1.0",S7000_DZ_ff,0
"ff 1.0",UHMW,1
"ff 1.0",UV RESISTANT PP,1
"ff1.0","ff1.0",1
"ff1.5","0.35",1.5
"ff1.5",Acetal,1.5
"ff1.5",ACETAL,1.5
"ff1.5",Air,1.5
"ff1.5",Aluminium,1.5
"ff1.5",AR NYLON,1.5
"ff1.5",ARB_DZ_ff,1.5
"ff1.5",BeltRollerARB,1.5
"ff1.5",BeltRollerNarrow,1.5
"ff1.5",BeltRollerS7000,1.5
"ff1.5",Black PU,1.5
"ff1.5",CardBoard,1.5
"ff1.5",Chain,1.5
"ff1.5",Chocolate,1.5
"ff1.5",Concrete,1.5
"ff1.5",Corrugated,1.5
"ff1.5",DETECTABLE PE,1.5
"ff1.5",DZ_ff,1.5
"ff1.5",Elastomer,1.5
"ff1.5",ELEC COND ACTL,1.5
"ff1.5",ELEC COND PP COMPOSITE,1.5
"ff1.5",ENDURALOX PP,1.5
"ff1.5",F&N,1.5
"ff1.5",F&N Can Conv Plastic,1.5
"ff1.5",F&N Plastic Incline,1.5
"ff1.5","ff 0.02",1.5
"ff1.5","ff 0.05",1.5
"ff1.5","ff 0.1",1.5
"ff1.5","ff 0.2",1.5
"ff1.5","ff 0.3",1.5
"ff1.5","ff 0.4",1.5
"ff1.5","ff 0.5",1.5
"ff1.5","ff 0.6",1.5
"ff1.5","ff 0.8",1.5
"ff1.5","ff1.5",1.5
"ff1.5","FLAME RET. TPES",1.5
"ff1.5",Free Roller,1.5
"ff1.5",Frictionless,1.5
"ff1.5",GavityRoller,1.5
"ff1.5",Glass,1.5
"ff1.5",Gliederband,1.5
"ff1.5",Glue,1.5
"ff1.5",Grey PU,1.5
"ff1.5",High Friction Rubber,1.5
"ff1.5",HIGH STRENGTH EC ACETAL,1.5
"ff1.5",Luggage,1.5
"ff1.5",Merge Roller,1.5
"ff1.5",Merge Seitenwand,1.5
"ff1.5",Narrow Roller,1.5
"ff1.5",Nestle Plastic,1.5
"ff1.5",NYLON,1.5
"ff1.5",NYLON (FDA),1.5
"ff1.5",NYLON (NON-FDA),1.5
"ff1.5",Passive,1.5
"ff1.5",PE Plastic,1.5
"ff1.5",Plastic,1.5
"ff1.5",Polyethylene,1.5
"ff1.5",POLYETHYLENE,1.5
"ff1.5",Polypropylene,1.5
"ff1.5",POLYPROPYLENE,1.5
"ff1.5",POLYPROPYLENE COMPOSITE,1.5
"ff1.5",Polyurethane,1.5
"ff1.5",Rolle Rutsche,1.5
"ff1.5",RollerBelt,1.5
"ff1.5",Rollers,1.5
"ff1.5",Rubber,1.5
"ff1.5",S7000_DZ_ff,1.5
"ff1.5",Schwerkraftrolle,1.5
"ff1.5",Soft Bag,1.5
"ff1.5",Steel,1.5
"ff1.5",TP package,1.5
"ff1.5",UHMW,1.5
"ff1.5",UV RESISTANT PP,1.5
"ff1.5",VeryStickyCardboard,1.5
"ff1.5",Wood,1.5
"ff1.5",Wood 1,1.5
"ff1.5",Wood 2,1.5
"ff1.5",Zobbiness,1.5
"FLAME RET. TPES",Aluminium,0.3
"FLAME RET. TPES",DZ_ff,0.08
"FLAME RET. TPES","ff 0.1",0.1
"FLAME RET. TPES","ff 0.2",0.2
"FLAME RET. TPES","ff 0.3",0.3
"FLAME RET. TPES","ff 0.4",0.4
"FLAME RET. TPES","ff 0.5",0.5
"FLAME RET. TPES","ff 0.6",0.6
"FLAME RET. TPES",Glue,1.5
"FLAME RET. TPES",Rubber,0.6
"FLAME RET. TPES",S7000_DZ_ff,0.08
"FLAME RET. TPES",Steel,0.18
Free Roller,ACETAL,0.05
Free Roller,Bread,0.07
Free Roller,brev,1.4
Free Roller,CardBoard,0
Free Roller,F&N Can Conv Plastic,0.05
Free Roller,"ff 1,0",0.05
Free Roller,"ff1.0",1
Free Roller,Free Roller,0.05
Free Roller,GavityRoller,0.02
Free Roller,Glass,0.05
Free Roller,HighFriction,9999
Free Roller,RollerBelt,0.1
Free Roller,Rubber_2,10
Free Roller,Stickum,0.05
Free Roller,sticky,2
Free Roller,Test,1
Free Roller,Z,1
Frictionless,Acetal,0
Frictionless,Aluminium,0
Frictionless,AR NYLON,0
Frictionless,Black PU,0
Frictionless,Bread,0
Frictionless,brev,1.5
Frictionless,CardBoard,0
Frictionless,Chocolate,0
Frictionless,DETECTABLE PE,0
Frictionless,DZ_ff,0
Frictionless,ELEC COND ACTL,0
Frictionless,ELEC COND PP COMPOSITE,0
Frictionless,F&N,0
Frictionless,F&N Can Conv Plastic,0
Frictionless,"ff 0.1",0
Frictionless,"ff 0.2",0
Frictionless,"ff 0.3",0
Frictionless,"ff 0.4",0
Frictionless,"ff 0.5",0
Frictionless,"ff 0.6",0
Frictionless,"ff 1,0",0
Frictionless,"ff1.0",1
Frictionless,"FLAME RET. TPES",0
Frictionless,Free Roller,0
Frictionless,Frictionless,0
Frictionless,GavityRoller,0.02
Frictionless,Glass,0
Frictionless,Grey PU,0
Frictionless,High Friction Rubber,0
Frictionless,HIGH STRENGTH EC ACETAL,0
Frictionless,HighFriction,9999
Frictionless,Luggage,0
Frictionless,Merge Roller,0
Frictionless,Merge Seitenwand,0
Frictionless,Narrow Roller,0
Frictionless,Nestle Plastic,0
Frictionless,NYLON,0
Frictionless,NYLON (FDA),0
Frictionless,NYLON (NON-FDA),0
Frictionless,Passive,0
Frictionless,pbTest,0
Frictionless,PE Plastic,0
Frictionless,Polyethylene,0
Frictionless,POLYETHYLENE,0
Frictionless,Polypropylene,0
Frictionless,POLYPROPYLENE,0
Frictionless,POLYPROPYLENE COMPOSITE,0
Frictionless,Polyurethane,0
Frictionless,Roellchen,0.01
Frictionless,RollerBelt,0.1
Frictionless,Rollers,0
Frictionless,Rubber,0
Frictionless,Rubber_2,10
Frictionless,S7000_DZ_ff,0
Frictionless,SELF EXTINGUISHING LOW MOISTURE,0
Frictionless,Soft Bag,0
Frictionless,Stickum,0
Frictionless,sticky,2
Frictionless,Test,1
Frictionless,TP package,0
Frictionless,UHMW,0
Frictionless,UV RESISTANT PP,0
Frictionless,VeryStickyCardboard,0
Frictionless,Wood 1,0
Frictionless,Wood 2,0
Frictionless,Zobbiness,0
GavityRoller,"ff 0.1",0.1
GavityRoller,"ff 1,0",0.02
GavityRoller,"ff1.0",1
GavityRoller,GavityRoller,0.02
Glass,DZ_ff,0.08
Glass,"ff 0.02",0.02
Glass,"ff 0.05",0.05
Glass,"ff 0.1",0.1
Glass,"ff 0.2",0.2
Glass,"ff 0.3",0.3
Glass,"ff 0.4",0.4
Glass,"ff 0.5",0.5
Glass,"ff 0.6",0.6
Glass,Glass,0.15
Glass,Glue,1.5
Glass,LowFriction,0.01
Glass,Polyethylene,0.09
Glass,POLYETHYLENE,0.09
Glass,S7000_DZ_ff,0.08
Glass,SELF EXTINGUISHING LOW MOISTURE,0.16
Gliederband,"ff 0.1",0.1
Gliederband,Frictionless,0
Gliederband,Plastic,0.9
Glue,Bread,2
Glue,"ff 0.1",0.1
Glue,Frictionless,0
Glue,Glue,1.5
Glue,Plastic,1.5
Glue,Wood,1.5
GravityRoller,"ff 1,0",0.02
Grey PU,Aluminium,0.27
Grey PU,Black PU,0.3
Grey PU,Bread,0.38
Grey PU,Corrugated,0.32
Grey PU,DZ_ff,0.08
Grey PU,"ff 0.05",0.05
Grey PU,"ff 0.1",0.1
Grey PU,"ff 0.2",0.2
Grey PU,"ff 0.3",0.3
Grey PU,"ff 0.4",0.4
Grey PU,"ff 0.5",0.5
Grey PU,"ff 0.6",0.6
Grey PU,Glue,1.5
Grey PU,PE Plastic,0.17
Grey PU,Plastic,0.3
Grey PU,Rubber,0.6
Grey PU,S7000_DZ_ff,0.08
Grey PU,Steel,0.2
High Friction Rubber,Corrugated,0.8
High Friction Rubber,Plastic,0.9
HIGH STRENGTH EC ACETAL,Acetal,0.2
HIGH STRENGTH EC ACETAL,Aluminium,0.27
HIGH STRENGTH EC ACETAL,Bread,0.25
HIGH STRENGTH EC ACETAL,Corrugated,0.18
HIGH STRENGTH EC ACETAL,DZ_ff,0.08
HIGH STRENGTH EC ACETAL,"ff 0.05",0.05
HIGH STRENGTH EC ACETAL,"ff 0.1",0.1
HIGH STRENGTH EC ACETAL,"ff 0.2",0.2
HIGH STRENGTH EC ACETAL,"ff 0.3",0.3
HIGH STRENGTH EC ACETAL,"ff 0.4",0.4
HIGH STRENGTH EC ACETAL,"ff 0.5",0.5
HIGH STRENGTH EC ACETAL,"ff 0.6",0.6
HIGH STRENGTH EC ACETAL,Glass,0.14
HIGH STRENGTH EC ACETAL,Glue,1.5
HIGH STRENGTH EC ACETAL,HIGH STRENGTH EC ACETAL,0.2
HIGH STRENGTH EC ACETAL,PE Plastic,0.16
HIGH STRENGTH EC ACETAL,Rubber,0.6
HIGH STRENGTH EC ACETAL,S7000_DZ_ff,0.08
HIGH STRENGTH EC ACETAL,Steel,0.14
HighFriction,HighFriction,9999
JNDK,Chain,1
JNDK,Concrete,0.1
LowFriction,Chain,0.01
LowFriction,Concrete,0.01
LowFriction,Corrugated,0.01
LowFriction,Free Roller,0.01
LowFriction,Frictionless,0
LowFriction,LowFriction,0.01
LowFriction,Plastic,0.01
LowFriction,Rubber,0.01
LowFriction,Steel,0.01
LowFriction,Wood,0.01
Luggage,BigFrictionPlate,2
Luggage,"ff 0,08",0.075
Luggage,"ff 0,8",0.8
Luggage,"ff 0.08",0.075
Luggage,"ff 0.1",0.1
Luggage,"ff 0.2",0.2
Luggage,"ff 0.3",0.3
Luggage,"ff 0.4",0.4
Luggage,"ff 0.5",0.5
Luggage,"ff 0.6",0.6
Luggage,"ff 1,0",1
Luggage,"ff 1.0",1
Luggage,"ff1.0",1
Luggage,Free Roller,0.05
Luggage,GravityRoller,0.02
Luggage,pbTest,0.3
Luggage,"Roller 0,075",0.075
Luggage,RollerBelt,0.1
MARS_CC1,Corrugated,0.75
Merge Roller,Corrugated,0.6
Merge Roller,"ff 0.1",0.1
Merge Roller,Plastic,0.6
Merge Seitenwand,"ff 0.1",0.1
Merge Seitenwand,Plastic,0.1
Narrow Roller,Black PU,0.1
Narrow Roller,Bread,0.12
Narrow Roller,Corrugated,0.1
Narrow Roller,"ff 0.1",0.1
Narrow Roller,Plastic,0.1
Nestle Plastic,"ff 0.1",0.1
Nestle Plastic,"ff1.0",1
NYLON,Aluminium,0.28
NYLON,Corrugated,0.19
NYLON,DZ_ff,0.08
NYLON,"ff 0.05",0.05
NYLON,"ff 0.1",0.1
NYLON,"ff 0.2",0.2
NYLON,"ff 0.3",0.3
NYLON,"ff 0.4",0.4
NYLON,"ff 0.5",0.5
NYLON,"ff 0.6",0.6
NYLON,Glass,0.16
NYLON,PE Plastic,0.16
NYLON,POLYPROPYLENE COMPOSITE,0.25
NYLON,Rubber,0.6
NYLON,S7000_DZ_ff,0.08
NYLON,Steel,0.27
NYLON,UHMW,0.16
NYLON,Wood,0.35
NYLON (FDA),Aluminium,0.28
NYLON (FDA),Bread,0.25
NYLON (FDA),Corrugated,0.19
NYLON (FDA),DZ_ff,0.08
NYLON (FDA),"ff 0.05",0.05
NYLON (FDA),"ff 0.1",0.1
NYLON (FDA),"ff 0.2",0.2
NYLON (FDA),"ff 0.3",0.3
NYLON (FDA),"ff 0.4",0.4
NYLON (FDA),"ff 0.5",0.5
NYLON (FDA),"ff 0.6",0.6
NYLON (FDA),Glass,0.16
NYLON (FDA),Glue,1.5
NYLON (FDA),PE Plastic,0.16
NYLON (FDA),Rubber,0.6
NYLON (FDA),S7000_DZ_ff,0.08
NYLON (FDA),Steel,0.27
NYLON (NON-FDA),Aluminium,0.28
NYLON (NON-FDA),Bread,0.25
NYLON (NON-FDA),Corrugated,0.19
NYLON (NON-FDA),DZ_ff,0.08
NYLON (NON-FDA),"ff 0.05",0.05
NYLON (NON-FDA),"ff 0.1",0.1
NYLON (NON-FDA),"ff 0.2",0.2
NYLON (NON-FDA),"ff 0.3",0.3
NYLON (NON-FDA),"ff 0.4",0.4
NYLON (NON-FDA),"ff 0.5",0.5
NYLON (NON-FDA),"ff 0.6",0.6
NYLON (NON-FDA),Glass,0.16
NYLON (NON-FDA),Glue,1.5
NYLON (NON-FDA),PE Plastic,0.16
NYLON (NON-FDA),Rubber,0.6
NYLON (NON-FDA),S7000_DZ_ff,0.08
NYLON (NON-FDA),Steel,0.27
Passive,"ff 0.1",0.1
Passive,"ff1.0",1
PE Plastic,BigFrictionPlate,2
PE Plastic,Bread,0.3
PE Plastic,Corrugated,0.27
PE Plastic,"ff 0,08",0.075
PE Plastic,"ff 0,8",0.8
PE Plastic,"ff 0.02",0.02
PE Plastic,"ff 0.05",0.05
PE Plastic,"ff 0.08",0.075
PE Plastic,"ff 1,0",1
PE Plastic,"ff 1.0",1
PE Plastic,"ff1.0",1
PE Plastic,Free Roller,0.05
PE Plastic,Glue,1.5
PE Plastic,GravityRoller,0.02
PE Plastic,High Friction Rubber,0.6
PE Plastic,Merge Roller,0.5
PE Plastic,PE Plastic,0.16
PE Plastic,Plastic,0.2
PE Plastic,"Roller 0,075",0.075
PE Plastic,SELF EXTINGUISHING LOW MOISTURE,0.16
Plastic,BigFrictionPlate,2
Plastic,BlueBelt,0.15
Plastic,Bread,0.25
Plastic,brev,1.6
Plastic,CardBoard,0.2
Plastic,Chain,1.5
Plastic,Concrete,0.9
Plastic,Conveyor Belt,1
Plastic,CustomMaterial1,1
Plastic,"ff 0,08",0.075
Plastic,"ff 0,8",0.8
Plastic,"ff 0.08",0.075
Plastic,"ff 0.1",0.1
Plastic,"ff 0.2",0.2
Plastic,"ff 0.3",0.3
Plastic,"ff 0.4",0.4
Plastic,"ff 0.5",0.5
Plastic,"ff 0.6",0.6
Plastic,"ff 1,0",1
Plastic,"ff 1.0",1
Plastic,"ff1.0",1
Plastic,Free Roller,0.05
Plastic,Frictionless,0
Plastic,GavityRoller,0.02
Plastic,Glass,0.35
Plastic,GravityRoller,0.02
Plastic,GrayBelt,0.4
Plastic,HighFriction,9999
Plastic,Luggage,0.3
Plastic,MergeBelt,1.5
Plastic,MPX,0.25
Plastic,Mpx,0.25
Plastic,Passive,0.05
Plastic,pbTest,0.45
Plastic,Plastic,0.2
Plastic,Polypropylene,0.15
Plastic,Roellchen,0.15
Plastic,"Roller 0,075",0.075
Plastic,RollerBelt,0.1
Plastic,Rubber,0.6
Plastic,Rubber_2,10
Plastic,Steel,0.3
Plastic,Stickum,2
Plastic,sticky,2
Plastic,StopMaterial,10000
Plastic,Test,1
Plastic,TP package,0.1
Plastic,UnloadBelt,0.2
Plastic,Wedge,1
Plastic,Wood,0.6
Plastic,Wood 1,0.6
Plastic,Wood 2,0.6
Plastic,Z,1
POLYETHYLENE,Corrugated,0.15
Polyethylene,"ff 0.1",0.1
POLYETHYLENE,"ff 0.1",0.1
Polypropylene,Aluminium,0.4
POLYPROPYLENE,Aluminium,0.4
Polypropylene,BeltRollerARB,0.2
POLYPROPYLENE,BeltRollerARB,0.2
Polypropylene,Bread,0.27
Polypropylene,Corrugated,0.21
POLYPROPYLENE,Corrugated,0.21
Polypropylene,DZ_ff,0.08
POLYPROPYLENE,DZ_ff,0.08
Polypropylene,"ff 0.02",0.02
POLYPROPYLENE,"ff 0.02",0.02
Polypropylene,"ff 0.05",0.05
POLYPROPYLENE,"ff 0.05",0.05
Polypropylene,Glass,0.19
POLYPROPYLENE,Glass,0.19
Polypropylene,Glue,1.5
POLYPROPYLENE,Glue,1.5
Polypropylene,PE Plastic,0.17
POLYPROPYLENE,PE Plastic,0.17
Polypropylene,"Rubber 0.1",0.1
POLYPROPYLENE,"Rubber 0.1",0.1
Polypropylene,"Rubber 0.3",0.3
POLYPROPYLENE,"Rubber 0.3",0.3
Polypropylene,S7000_DZ_ff,0.08
POLYPROPYLENE,S7000_DZ_ff,0.08
Polypropylene,Steel,0.26
POLYPROPYLENE,Steel,0.26
POLYPROPYLENE COMPOSITE,Aluminium,0.4
POLYPROPYLENE COMPOSITE,Bread,0.27
POLYPROPYLENE COMPOSITE,Corrugated,0.21
POLYPROPYLENE COMPOSITE,DZ_ff,0.08
POLYPROPYLENE COMPOSITE,"ff 0.02",0.02
POLYPROPYLENE COMPOSITE,"ff 0.05",0.05
POLYPROPYLENE COMPOSITE,"ff 0.1",0.1
POLYPROPYLENE COMPOSITE,"ff 0.2",0.2
POLYPROPYLENE COMPOSITE,"ff 0.3",0.3
POLYPROPYLENE COMPOSITE,"ff 0.4",0.4
POLYPROPYLENE COMPOSITE,"ff 0.5",0.5
POLYPROPYLENE COMPOSITE,"ff 0.6",0.6
POLYPROPYLENE COMPOSITE,Glass,0.19
POLYPROPYLENE COMPOSITE,NYLON (FDA),0.25
POLYPROPYLENE COMPOSITE,NYLON (NON-FDA),0.25
POLYPROPYLENE COMPOSITE,PE Plastic,0.17
POLYPROPYLENE COMPOSITE,Rubber,0.6
POLYPROPYLENE COMPOSITE,S7000_DZ_ff,0.08
POLYPROPYLENE COMPOSITE,SELF EXTINGUISHING LOW MOISTURE,0.25
POLYPROPYLENE COMPOSITE,Steel,0.32
Polyurethane,BigFrictionPlate,2
Polyurethane,Bread,0.37
Polyurethane,Corrugated,0.32
Polyurethane,DZ_ff,0.08
Polyurethane,"ff 0,08",0.075
Polyurethane,"ff 0,8",0.8
Polyurethane,"ff 0.02",0.02
Polyurethane,"ff 0.05",0.05
Polyurethane,"ff 0.08",0.075
Polyurethane,"ff 0.1",0.1
Polyurethane,"ff 0.2",0.2
Polyurethane,"ff 0.3",0.3
Polyurethane,"ff 0.4",0.4
Polyurethane,"ff 0.5",0.5
Polyurethane,"ff 0.6",0.6
Polyurethane,"ff 1,0",1
Polyurethane,"ff 1.0",1
Polyurethane,"ff1.0",1
Polyurethane,Free Roller,0.05
Polyurethane,Glue,1.5
Polyurethane,GravityRoller,0.02
Polyurethane,PE Plastic,0.17
Polyurethane,"Roller 0,075",0.075
Polyurethane,RollerBelt,0.1
Polyurethane,Rubber,0.6
Polyurethane,S7000_DZ_ff,0.08
Polyurethane,Steel,0.4
Roellchen,"ff1.0",1
Rolle Rutsche,Corrugated,0.5
RollerBelt,"ff 0.02",0.02
RollerBelt,"ff 0.1",0.1
RollerBelt,"ff 1,0",0.1
RollerBelt,"ff1.0",1
RollerBelt,pbTest,0.075
RollerBelt,PE Plastic,0.1
RollerBelt,RollerBelt,0.1
Rollers,Aluminium,0.05
Rollers,Bread,0.05
Rollers,Chain,2
Rollers,Corrugated,0.05
Rollers,DZ_ff,0.08
Rollers,"ff 0.05",0.05
Rollers,"ff 0.1",0.05
Rollers,"ff 0.4",0.05
Rollers,"ff 0.5",0.05
Rollers,"ff 0.6",0.05
Rollers,"ff1.0",1
Rollers,pbTest,0.08
Rollers,PE Plastic,0.05
Rollers,Plastic,0
Rollers,Rubber,0.1
Rollers,"Rubber 0.1",0.1
Rollers,"Rubber 0.3",0.1
Rollers,S7000_DZ_ff,0.08
ROUGH TOP,ROUGH TOP,50
Rubber,Aluminium,0.6
Rubber,BigFrictionPlate,2
Rubber,Bread,0.48
Rubber,brev,1.2
Rubber,CardBoard,0.4
Rubber,Chain,8
Rubber,EASY RELEASE PLUS,0.6
Rubber,EASY RELEASE TRACEABLE PP,0.6
Rubber,"ff 0,08",0.075
Rubber,"ff 0,8",0.8
Rubber,"ff 0.05",0.05
Rubber,"ff 0.08",0.075
Rubber,"ff 0.1",0.1
Rubber,"ff 0.2",0.2
Rubber,"ff 0.3",0.3
Rubber,"ff 0.4",0.4
Rubber,"ff 0.5",0.5
Rubber,"ff 0.6",0.6
Rubber,"ff 1,0",1
Rubber,"ff 1.0",1
Rubber,"ff1.0",1
Rubber,Free Roller,0.05
Rubber,GavityRoller,0.02
Rubber,Glue,1.5
Rubber,GravityRoller,0.02
Rubber,HighFriction,9999
Rubber,Luggage,0.4
Rubber,Pastry,0.2
Rubber,PE Plastic,0.4
Rubber,Polypropylene,0.6
Rubber,POLYPROPYLENE,0.6
Rubber,"Roller 0,075",0.075
Rubber,RollerBelt,0.1
Rubber,Rubber,0.7
Rubber,Rubber_2,10
Rubber,S7000_DZ_ff,0.08
Rubber,SELF EXTINGUISHING LOW MOISTURE,0.6
Rubber,Soft Bag,0.5
Rubber,Stickum,2
Rubber,sticky,2
Rubber,Test,1
Rubber,TP package,0.5
Rubber,VeryStickyCardboard,0.8
Rubber,Wood 1,0.8
Rubber,Wood 2,0.8
Rubber,Z,1
Rubber_2,"ff1.0",1
Rubber_2,Rubber_2,10
S7000_DZ_ff,Bread,0.1
S7000_DZ_ff,Corrugated,0.08
S7000_DZ_ff,DZ_ff,0.08
S7000_DZ_ff,"ff 0.05",0.08
S7000_DZ_ff,PE Plastic,0.08
S7000_DZ_ff,S7000_DZ_ff,0.08
Schwerkraftrolle,Corrugated,0.05
Soft Bag,BigFrictionPlate,2
Soft Bag,Conveyor Belt,1.1
Soft Bag,"ff 0,08",0.075
Soft Bag,"ff 0,8",0.8
Soft Bag,"ff 0.08",0.075
Soft Bag,"ff 0.1",0.1
Soft Bag,"ff 0.2",0.2
Soft Bag,"ff 0.3",0.3
Soft Bag,"ff 0.4",0.4
Soft Bag,"ff 0.5",0.5
Soft Bag,"ff 0.6",0.6
Soft Bag,"ff 1,0",1
Soft Bag,"ff 1.0",1
Soft Bag,"ff1.0",1
Soft Bag,Free Roller,0.05
Soft Bag,GravityRoller,0.02
Soft Bag,MergeBelt,2
Soft Bag,pbTest,0.53
Soft Bag,Plastic,0.3
Soft Bag,"Roller 0,075",0.075
Soft Bag,RollerBelt,0.1
Soft Bag,UnloadBelt,0.4
Softside,Plastic,0.3
Softside,Rubber,0.7
Softside,Softside,0.4
Softside,Steel,0.35
Special Metal,Rubber,1
Special Metal,Special Metal,2
Steel,"0.35",0.1
Steel,BigFrictionPlate,2
Steel,Black PU,0.8
Steel,Bread,0.25
Steel,brev,1.5
Steel,CardBoard,0.2
Steel,DZ_ff,0.08
Steel,F&N,0.15
Steel,F&N Can Conv Plastic,0.05
Steel,F&N Plastic Incline,0.15
Steel,"ff 0,08",0.075
Steel,"ff 0,8",0.8
Steel,"ff 0.05",0.05
Steel,"ff 0.08",0.075
Steel,"ff 0.1",0.1
Steel,"ff 0.2",0.2
Steel,"ff 0.3",0.3
Steel,"ff 0.4",0.4
Steel,"ff 0.5",0.5
Steel,"ff 0.6",0.6
Steel,"ff 1,0",1
Steel,"ff 1.0",1
Steel,"ff1.0",1
Steel,Free Roller,0.05
Steel,Frictionless,0
Steel,GavityRoller,0.02
Steel,Glass,0.19
Steel,Glue,1.5
Steel,GravityRoller,0.02
Steel,HighFriction,9999
Steel,Luggage,0.1
Steel,PE Plastic,0.4
Steel,Polyethylene,0.13
Steel,POLYETHYLENE,0.13
Steel,"Roller 0,075",0.075
Steel,RollerBelt,0.1
Steel,Rubber,0.5
Steel,"Rubber 0.1",0.6
Steel,"Rubber 0.3",0.6
Steel,Rubber_2,10
Steel,S7000_DZ_ff,0.08
Steel,SELF EXTINGUISHING LOW MOISTURE,0.27
Steel,Soft Bag,0.1
Steel,Steel,2
Steel,Stickum,2
Steel,sticky,2
Steel,Test,1
Steel,water,0.1
Steel,Wood 1,0.4
Steel,Wood 2,0.4
Steel,Z,1
Stickum,Stickum,2
